state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
17,019,0006,88101,1,40.123886,-88.240553,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,1.8,1.8,0,10.0,142,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,709 N. Champaign St.,709 N. Champaign St.,Illinois,Champaign,Champaign,16580,"Champaign-Urbana, IL",2024-05-17
17,019,0006,88101,1,40.123886,-88.240553,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,1.8,1.8,0,10.0,142,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,709 N. Champaign St.,709 N. Champaign St.,Illinois,Champaign,Champaign,16580,"Champaign-Urbana, IL",2024-05-17
17,019,0006,88101,1,40.123886,-88.240553,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,1.8,1.8,0,10.0,142,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,709 N. Champaign St.,709 N. Champaign St.,Illinois,Champaign,Champaign,16580,"Champaign-Urbana, IL",2024-05-17
17,019,0006,88101,1,40.123886,-88.240553,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,1.8,1.8,0,10.0,142,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,709 N. Champaign St.,709 N. Champaign St.,Illinois,Champaign,Champaign,16580,"Champaign-Urbana, IL",2024-05-17
17,019,0006,88101,1,40.123886,-88.240553,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,1.8,1.8,0,10.0,142,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,709 N. Champaign St.,709 N. Champaign St.,Illinois,Champaign,Champaign,16580,"Champaign-Urbana, IL",2024-05-17
17,019,0006,88101,1,40.123886,-88.240553,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,1.8,1.8,0,10.0,142,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,709 N. Champaign St.,709 N. Champaign St.,Illinois,Champaign,Champaign,16580,"Champaign-Urbana, IL",2024-05-17
17,019,0006,88101,1,40.123886,-88.240553,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2024,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,1.8,1.8,0,10.0,142,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,709 N. Champaign St.,709 N. Champaign St.,Illinois,Champaign,Champaign,16580,"Champaign-Urbana, IL",2024-05-17
17,019,0006,88101,1,40.123886,-88.240553,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2024,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,1.8,1.8,0,10.0,142,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,709 N. Champaign St.,709 N. Champaign St.,Illinois,Champaign,Champaign,16580,"Champaign-Urbana, IL",2024-05-17
17,031,3301,88101,9,41.782766,-87.805377,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,2.5,2.5,0,14.0,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,GRAVES ES,60TH ST. & 74TH AVE.,Illinois,Cook,Summit,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2025-04-23
17,031,3301,88101,9,41.782766,-87.805377,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,2.5,2.5,0,14.0,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,GRAVES ES,60TH ST. & 74TH AVE.,Illinois,Cook,Summit,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2025-04-23
17,031,3301,88101,9,41.782766,-87.805377,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,2.5,2.5,0,14.0,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,GRAVES ES,60TH ST. & 74TH AVE.,Illinois,Cook,Summit,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2025-04-23
17,031,3301,88101,9,41.782766,-87.805377,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,2.5,2.5,0,14.0,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,GRAVES ES,60TH ST. & 74TH AVE.,Illinois,Cook,Summit,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2025-04-23
17,031,3301,88101,9,41.782766,-87.805377,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,2.5,2.5,0,14.0,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,GRAVES ES,60TH ST. & 74TH AVE.,Illinois,Cook,Summit,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2025-04-23
17,031,3301,88101,9,41.782766,-87.805377,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,2024-01-01,Micrograms/cubic meter (LC),No Events,1,100.0,Y,2.5,2.5,0,14.0,545,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,GRAVES ES,60TH ST. & 74TH AVE.,Illinois,Cook,Summit,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2025-04-23
